terrace_id,terrace_lat,terrace_lon,date,time_slot,is_sunlit,sun_altitude,sun_azimuth,h_terrace,distance_to_obstacle,obstruction_height,ray_height_at_obstacle,obstruction_lat,obstruction_lon
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,15:00,True,56.05386140720118,212.19978364502478,46.5595703125,,,,,
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,15:30,True,53.03417229271084,223.33393762866473,46.5595703125,,,,,
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,16:00,False,49.35936182048161,233.0795135766043,46.5595703125,15.0,67.337890625,64.03527006425422,48.83866395785269,2.3034877487508263
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,16:30,False,45.210482417674,241.61862184167592,46.5595703125,15.0,66.8720703125,61.67018550348413,48.83868077376294,2.3034711063065294
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,17:00,False,40.73105164517668,249.18739395964042,46.5595703125,15.0,65.47265625,59.47575595908757,48.838696899249335,2.303459661795179
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,17:30,False,36.03096079838596,256.0115667833626,46.5595703125,16.0,66.3701171875,58.19746568831168,48.83870992834104,2.3034389920355722
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,18:00,False,31.194634347204143,262.2844671732845,46.5595703125,17.0,62.60693359375,56.852960456071486,48.83872408003773,2.303420810343971
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,18:30,False,26.288882461771703,268.165134241719,46.5595703125,18.0,62.63232421875,55.45137901764549,48.838739331203286,2.303405010659803
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,19:00,False,21.3692786033536,273.7835661808531,46.5595703125,20.0,65.69921875,54.38511642894523,48.83875622684659,2.3033780035902387
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,19:30,False,16.485327235623387,279.24731175618507,46.5595703125,19.0,61.02587890625,52.18233451919809,48.83877191146227,2.3033941890596656
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,20:00,False,11.685607149932688,284.6472982033304,46.5595703125,18.0,61.5537109375,50.28247579354096,48.83878549271226,2.303412238256485
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,20:30,False,7.027192639299825,290.06230862517305,46.5595703125,19.0,57.23388671875,48.901630871518265,48.83880314019552,2.3034061155852807
"17 RUE DES FAVORITES, 75015",48.838745941327176,2.3036500414450307,2025-05-12,21:00,False,2.6188157524750615,295.5620384899125,46.5595703125,5.0,48.8447265625,46.78826437850673,48.83876498545193,2.303588331447556
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,10:00,False,35.357086953241534,103.21921640672468,61.67822265625,3.0,74.125,63.80683177118601,48.89238881492901,2.3400737149383732
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,10:30,False,40.085240586318896,109.95548249544726,61.67822265625,3.0,72.634765625,64.20313672551228,48.89238576932616,2.340072381044028
"20 RUE DU RUISSEAU, 75018",48.89239476464042,2.3400338076129286,2025-05-12,11:00,False,44.60475030737172,117.40833391165029,61.67822265625,3.0,73.6787109375,64.63711512966024,48.89238254614295,2.3400702856831015
